,date,time,temperature,humidity
280,2021-02-12,16:00:00,33.0,33.86
281,2021-02-12,17:00:00,32.8,34.16
282,2021-02-12,18:00:00,31.8,34.59
283,2021-02-12,19:00:00,30.5,37.67
284,2021-02-12,20:00:00,27.6,48.81
285,2021-02-12,21:00:00,26.8,60.17
286,2021-02-12,22:00:00,26.8,60.77
287,2021-02-12,23:00:00,26.0,67.31
288,2021-02-13,00:00:00,26.0,67.31
289,2021-02-13,01:00:00,26.0,72.31
290,2021-02-13,02:00:00,26.0,80.16
291,2021-02-13,03:00:00,25.0,85.07
292,2021-02-13,04:00:00,24.1,88.61
293,2021-02-13,05:00:00,24.1,94.15
294,2021-02-13,06:00:00,24.1,93.26
295,2021-02-13,07:00:00,23.3,99.05
296,2021-02-13,08:00:00,24.1,92.37
297,2021-02-13,09:00:00,26.0,70.91
298,2021-02-13,10:00:00,28.8,66.57
299,2021-02-13,11:00:00,30.8,59.91
300,2021-02-13,12:00:00,31.0,55.31
301,2021-02-13,13:00:00,32.0,49.61
302,2021-02-13,14:00:00,32.8,39.6
303,2021-02-13,15:00:00,32.8,41.35
304,2021-02-13,16:00:00,32.8,42.6
305,2021-02-13,17:00:00,31.9,44.33
306,2021-02-13,18:00:00,30.8,56.19
307,2021-02-13,19:00:00,29.6,63.0
308,2021-02-13,20:00:00,27.9,66.83
309,2021-02-13,21:00:00,26.9,70.86
310,2021-02-13,22:00:00,27.0,76.87
311,2021-02-13,23:00:00,26.9,75.33
312,2021-02-14,00:00:00,26.0,89.23
313,2021-02-14,01:00:00,25.6,87.65
314,2021-02-14,02:00:00,26.1,88.29
315,2021-02-14,03:00:00,25.9,89.22
316,2021-02-14,04:00:00,23.9,95.76
317,2021-02-14,05:00:00,25.0,94.19
318,2021-02-14,06:00:00,24.9,94.19
319,2021-02-14,07:00:00,23.1,94.65
320,2021-02-14,08:00:00,25.1,88.68
321,2021-02-14,09:00:00,26.1,83.57
322,2021-02-14,10:00:00,29.1,74.46
323,2021-02-14,11:00:00,31.0,62.16
324,2021-02-14,12:00:00,31.9,55.24
325,2021-02-14,13:00:00,34.0,50.53
326,2021-02-14,14:00:00,32.1,45.95
327,2021-02-14,15:00:00,32.1,45.95
328,2021-02-14,16:00:00,33.5,51.82
329,2021-02-14,17:00:00,31.9,52.81
330,2021-02-14,18:00:00,30.8,56.19
331,2021-02-14,19:00:00,29.5,61.42
332,2021-02-14,20:00:00,28.8,63.38
333,2021-02-14,21:00:00,27.0,66.65
334,2021-02-14,22:00:00,27.5,73.26
335,2021-02-14,23:00:00,26.9,74.52
336,2021-02-15,00:00:00,26.9,75.33
337,2021-02-15,01:00:00,26.0,80.16
338,2021-02-15,02:00:00,26.0,89.23
339,2021-02-15,03:00:00,25.1,89.16
