date,time,temp,rh
16/1/2021,1900,30,52
16/1/2021,2000,29,58
16/1/2021,2100,28,63
16/1/2021,2200,27,66
16/1/2021,2300,27,69
17/1/2021,0,27,71
17/1/2021,100,27,73
17/1/2021,200,27,74
17/1/2021,300,27,75
17/1/2021,400,26,76
17/1/2021,500,26,77
17/1/2021,600,26,77
17/1/2021,700,26,74
17/1/2021,800,27,70
17/1/2021,900,27,66
17/1/2021,1000,29,58
17/1/2021,1100,30,51
17/1/2021,1200,31,43
17/1/2021,1300,32,39
17/1/2021,1400,32,35
17/1/2021,1500,32,31
17/1/2021,1600,32,31
17/1/2021,1700,32,32
17/1/2021,1800,32,32
17/1/2021,1900,31,32
17/1/2021,2000,31,33
17/1/2021,2100,30,34
17/1/2021,2200,29,36
17/1/2021,2300,28,38
18/1/2021,0,27,40
18/1/2021,100,26,42
18/1/2021,200,25,43
18/1/2021,300,24,45
18/1/2021,400,23,45
18/1/2021,500,23,46
18/1/2021,600,22,46
18/1/2021,700,23,45
18/1/2021,800,23,44
18/1/2021,900,24,42
18/1/2021,1000,25,39
18/1/2021,1100,26,36
18/1/2021,1200,28,34
18/1/2021,1300,28,32
18/1/2021,1400,29,30
18/1/2021,1500,30,28
18/1/2021,1600,30,29
18/1/2021,1700,29,29
18/1/2021,1800,29,29
18/1/2021,1900,28,30
18/1/2021,2000,28,31
18/1/2021,2100,27,33
18/1/2021,2200,26,34
18/1/2021,2300,25,35
19/1/2021,0,25,36
19/1/2021,100,25,37
19/1/2021,200,25,38
19/1/2021,300,25,39
19/1/2021,400,25,40
19/1/2021,500,25,41
19/1/2021,600,25,42
19/1/2021,700,25,41
19/1/2021,800,24,41
19/1/2021,900,24,40
19/1/2021,1000,25,37
19/1/2021,1100,26,34
19/1/2021,1200,27,32
19/1/2021,1300,29,29
19/1/2021,1400,30,27
19/1/2021,1500,31,25
19/1/2021,1600,31,25
19/1/2021,1700,31,25
19/1/2021,1800,30,26
19/1/2021,1900,29,27
19/1/2021,2000,27,28
19/1/2021,2100,26,30
19/1/2021,2200,26,31
19/1/2021,2300,27,32
20/1/2021,0,27,33
20/1/2021,100,27,34
20/1/2021,200,28,36
20/1/2021,300,28,37
20/1/2021,400,27,39
20/1/2021,500,27,40
20/1/2021,600,26,42
20/1/2021,700,27,41
20/1/2021,800,27,40
20/1/2021,900,28,39
20/1/2021,1000,29,35
20/1/2021,1100,31,32
20/1/2021,1200,32,29
20/1/2021,1300,33,27
20/1/2021,1400,34,24
20/1/2021,1500,35,22
20/1/2021,1600,36,22
20/1/2021,1700,36,23
20/1/2021,1800,36,23
20/1/2021,1900,35,25
20/1/2021,2000,34,27
20/1/2021,2100,33,29
20/1/2021,2200,32,31
20/1/2021,2300,31,33
21/1/2021,0,30,36
21/1/2021,100,29,37
21/1/2021,200,29,39
21/1/2021,300,29,40
21/1/2021,400,28,41
21/1/2021,500,28,41
21/1/2021,600,27,42
21/1/2021,700,28,40
21/1/2021,800,29,38
21/1/2021,900,30,36
21/1/2021,1000,31,33
21/1/2021,1100,33,30
21/1/2021,1200,34,27
21/1/2021,1300,35,25
21/1/2021,1400,36,23
21/1/2021,1500,37,21
21/1/2021,1600,37,22
21/1/2021,1700,36,23
21/1/2021,1800,35,25
21/1/2021,1900,34,27
21/1/2021,2000,33,29
21/1/2021,2100,32,30
21/1/2021,2200,31,36
21/1/2021,2300,29,42
22/1/2021,0,28,47
22/1/2021,100,28,49
22/1/2021,200,28,50
22/1/2021,300,28,52
22/1/2021,400,28,51
22/1/2021,500,28,50
22/1/2021,600,28,49
22/1/2021,700,29,46
22/1/2021,800,30,43
22/1/2021,900,31,40
22/1/2021,1000,32,36
22/1/2021,1100,33,33
22/1/2021,1200,34,29
22/1/2021,1300,34,28
22/1/2021,1400,35,27
22/1/2021,1500,35,26
22/1/2021,1600,34,27
22/1/2021,1700,34,29
22/1/2021,1800,33,31
22/1/2021,1900,32,34
22/1/2021,2000,31,38
22/1/2021,2100,31,42
22/1/2021,2200,30,46
22/1/2021,2300,29,50
23/1/2021,0,28,54
23/1/2021,100,28,56
23/1/2021,200,28,59
23/1/2021,300,27,61
23/1/2021,400,27,62
23/1/2021,500,27,63
23/1/2021,600,27,64
23/1/2021,700,28,60
23/1/2021,800,29,55
23/1/2021,900,30,51
23/1/2021,1000,31,46
23/1/2021,1100,32,42
23/1/2021,1200,33,37
23/1/2021,1300,33,36
23/1/2021,1400,33,34
23/1/2021,1500,34,33
23/1/2021,1600,33,36
23/1/2021,1700,32,39
23/1/2021,1800,31,42
23/1/2021,1900,30,47
23/1/2021,2000,29,51
23/1/2021,2100,28,56
23/1/2021,2200,28,58
23/1/2021,2300,28,60
24/1/2021,0,27,62
24/1/2021,100,27,64
24/1/2021,200,27,66
24/1/2021,300,26,69
24/1/2021,400,26,70
24/1/2021,500,26,71
24/1/2021,600,26,72
24/1/2021,700,27,67
24/1/2021,800,28,63
24/1/2021,900,29,58
24/1/2021,1000,30,54
24/1/2021,1100,31,49
24/1/2021,1200,32,44
24/1/2021,1300,32,43
24/1/2021,1400,33,42
24/1/2021,1500,33,40
24/1/2021,1600,32,45
24/1/2021,1700,31,49
24/1/2021,1800,30,53
24/1/2021,1900,29,58
24/1/2021,2000,29,62
24/1/2021,2100,28,67
24/1/2021,2200,28,68
24/1/2021,2300,27,69
25/1/2021,0,27,70
25/1/2021,100,27,71
25/1/2021,200,27,72
25/1/2021,300,27,73
25/1/2021,400,27,74
25/1/2021,500,27,75
25/1/2021,600,27,76
25/1/2021,700,27,72
25/1/2021,800,28,67
25/1/2021,900,29,63
25/1/2021,1000,30,57
25/1/2021,1100,31,52
25/1/2021,1200,32,46
25/1/2021,1300,33,44
25/1/2021,1400,34,41
25/1/2021,1500,34,38
25/1/2021,1600,34,41
25/1/2021,1700,33,44
25/1/2021,1800,32,47
25/1/2021,1900,31,51
25/1/2021,2000,30,56
25/1/2021,2100,30,61
25/1/2021,2200,29,64
25/1/2021,2300,29,67
26/1/2021,0,28,70
26/1/2021,100,28,72
26/1/2021,200,28,73
26/1/2021,300,28,75
26/1/2021,400,27,75
26/1/2021,500,27,76
26/1/2021,600,27,76
26/1/2021,700,28,71
26/1/2021,800,29,66
26/1/2021,900,30,61
26/1/2021,1000,31,54
26/1/2021,1100,33,48
26/1/2021,1200,34,41
26/1/2021,1300,34,39
26/1/2021,1400,35,37
26/1/2021,1500,36,34
26/1/2021,1600,35,39
26/1/2021,1700,35,44
26/1/2021,1800,35,49
26/1/2021,1900,33,53
26/1/2021,2000,32,57
26/1/2021,2100,31,61
26/1/2021,2200,30,63
26/1/2021,2300,29,64
27/1/2021,0,29,66
27/1/2021,100,29,67
27/1/2021,200,28,68
27/1/2021,300,28,69
27/1/2021,400,28,69
27/1/2021,500,28,69
27/1/2021,600,28,69
27/1/2021,700,29,65
27/1/2021,800,30,61
27/1/2021,900,31,57
27/1/2021,1000,31,53
27/1/2021,1100,32,49
27/1/2021,1200,33,45
27/1/2021,1300,33,44
27/1/2021,1400,34,43
27/1/2021,1500,34,42
27/1/2021,1600,33,46
27/1/2021,1700,32,51
27/1/2021,1800,31,55
27/1/2021,1900,30,58
27/1/2021,2000,29,62
27/1/2021,2100,29,65
27/1/2021,2200,29,66
27/1/2021,2300,29,68
28/1/2021,0,28,69
28/1/2021,100,28,70
28/1/2021,200,28,71
28/1/2021,300,28,72
28/1/2021,400,28,72
28/1/2021,500,28,73
28/1/2021,600,28,73
28/1/2021,700,29,69
28/1/2021,800,30,64
28/1/2021,900,31,59
28/1/2021,1000,32,53
28/1/2021,1100,33,47
28/1/2021,1200,34,41
28/1/2021,1300,35,38
28/1/2021,1400,36,35
28/1/2021,1500,36,32
28/1/2021,1600,36,34
